,time,mcv1,prevalence,new_infections,susceptible,infected,recovered,exposed,cum_infections
0,2020,0%,0,0,8,0,4997,7,0
1,2020.083333,0%,0,0,16,0,4996,7,0
2,2020.166667,0%,0,0,24,0,4990,7,0
3,2020.25,0%,0,0,32,0,4988,7,0
4,2020.333333,0%,0,0,40,0,4987,7,0
5,2020.416667,0%,0,0,48,0,4987,7,0
6,2020.5,0%,0,0,56,0,4985,7,0
7,2020.583333,0%,0,0,64,0,4982,7,0
8,2020.666667,0%,0,0,72,0,4980,7,0
9,2020.75,0%,0,0,80,0,4976,7,0
10,2020.833333,0%,0,0,87,0,4974,8,0
11,2020.916667,0%,0,0,95,0,4972,8,0
12,2021,0%,0,0,103,0,4969,8,0
13,2021.083333,0%,0,0,110,0,4965,9,0
14,2021.166667,0%,0,0,118,0,4963,9,0
15,2021.25,0%,0,0,125,0,4960,10,0
16,2021.333333,0%,0,0,131,0,4956,10,0
17,2021.416667,0%,0,0,139,0,4951,9,0
18,2021.5,0%,0,0,147,0,4950,9,0
19,2021.583333,0%,0,0,154,0,4948,10,0
20,2021.666667,0%,0,0,161,0,4945,11,0
21,2021.75,0%,0,0,169,0,4943,11,0
22,2021.833333,0%,0,0,175,0,4940,13,0
23,2021.916667,0%,0,0,183,0,4937,13,0
24,2022,0%,0,0,189,0,4936,14,0
25,2022.083333,0%,0,0,197,0,4934,14,0
26,2022.166667,0%,0,0,204,0,4931,15,0
27,2022.25,0%,0,0,211,0,4931,16,0
28,2022.333333,0%,0,0,215,0,4929,21,0
29,2022.416667,0%,0,0,220,0,4925,24,0
30,2022.5,0%,0,0,226,0,4920,27,0
31,2022.583333,0%,0,0,232,0,4914,30,0
32,2022.666667,0%,0,0,235,0,4909,35,0
33,2022.75,0%,0,0,239,0,4907,40,0
34,2022.833333,0%,0,0,242,0,4906,46,0
35,2022.916667,0%,0,0,247,0,4899,50,0
36,2023,0%,0,0,249,0,4897,57,0
37,2023.083333,0%,0,0,246,0,4895,69,0
38,2023.166667,0%,0,0,248,0,4893,76,0
39,2023.25,0%,0,0,245,0,4890,88,0
40,2023.333333,0%,0,0,234,0,4889,107,0
41,2023.416667,0%,0,0,222,0,4887,128,0
42,2023.5,0%,0,0,220,0,4882,139,0
43,2023.583333,0%,0,0,209,0,4882,159,0
44,2023.666667,0%,0,0,195,0,4878,182,0
45,2023.75,0%,0,0,184,0,4872,202,0
46,2023.833333,0%,0,0,166,0,4870,229,0
47,2023.916667,0%,0,0,140,0,4869,263,0
48,2024,0%,0,0,130,0,4867,282,0
49,2024.083333,0%,0,0,117,0,4865,304,0
50,2024.166667,0%,0,0,106,0,4863,324,0
51,2024.25,0%,0,0,98,0,4860,341,0
52,2024.333333,0%,0,0,86,0,4854,362,0
53,2024.416667,0%,0,0,70,0,4849,387,0
