periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,IDSR Measles Deaths,IDSR Measles Total,Proportion of under 1 year receiving vaccine against Measles and Rubella 1,Proportion of under two years receiving  vaccine against Measles and Rubella 2
202001,January 2020,202001,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,,,69.09,23.43
202001,January 2020,202001,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,,,63.45,34.43
202001,January 2020,202001,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,1,36.99,12.48
202001,January 2020,202001,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,,29,23.8,7.28
202001,January 2020,202001,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,82.52,43.26
202001,January 2020,202001,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,,,75.92,53.58
202001,January 2020,202001,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,,8,72.38,30.65
202001,January 2020,202001,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,,7,15.54,2.91
202001,January 2020,202001,,Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,,,45.89,9.53
202001,January 2020,202001,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,23,89.18,36.1
202001,January 2020,202001,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,,,37.37,11.61
202001,January 2020,202001,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,,,60.62,35.37
202001,January 2020,202001,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,7.0,56,106.61,59.42
202001,January 2020,202001,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,,25,41.64,27.94
202001,January 2020,202001,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,,83.59,68.1
202001,January 2020,202001,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,,8,46.29,22.59
202001,January 2020,202001,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,,152,64.11,23.55
202001,January 2020,202001,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,,3,74.96,111.96
202001,January 2020,202001,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,,,33.61,17.07
202001,January 2020,202001,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,,10,52.57,29.27
202001,January 2020,202001,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,,,98.27,48.49
202001,January 2020,202001,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,,2,86.18,67.1
202001,January 2020,202001,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,,,109.77,73.16
202001,January 2020,202001,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,,,103.39,21.75
202001,January 2020,202001,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,,2,79.43,12.85
202001,January 2020,202001,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,,,55.46,37.17
202001,January 2020,202001,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,,6,48.96,18.72
202001,January 2020,202001,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,38.34,11.88
202001,January 2020,202001,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,,,89.48,72.95
202001,January 2020,202001,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,,8,88.45,42.1
202001,January 2020,202001,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,,,51.97,31.43
202001,January 2020,202001,,Kenya,Nandi County,t0J75eHKxz5,Nandi County,KE_County_29,,,,49.24,17.36
202001,January 2020,202001,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,,,69.59,22.74
202001,January 2020,202001,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,,28,39.65,15.4
202001,January 2020,202001,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,,,63.4,49.91
202001,January 2020,202001,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,,2,79.15,61.98
202001,January 2020,202001,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,,,79.77,12.61
202001,January 2020,202001,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,,221,38.4,9.94
202001,January 2020,202001,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,,66.38,45.0
202001,January 2020,202001,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,,4,67.93,26.69
202001,January 2020,202001,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,,17.0,10.33
202001,January 2020,202001,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,,,101.23,42.91
202001,January 2020,202001,,Kenya,Turkana County,kphDeKClFch,Turkana County,KE_County_23,,,,55.95,14.37
202001,January 2020,202001,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,,,58.43,17.69
202001,January 2020,202001,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,,,99.44,50.03
202001,January 2020,202001,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,,,90.04,15.33
202001,January 2020,202001,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,,26,55.43,16.5
