year,county,n_alive
2020,Baringo,694780.033001008
2020,Bomet,908146.062071529
2020,Bungoma,1715308.57335656
2020,Busia,923150.241370089
2020,"Elgeyo-
Marakwet",478020.251762405
2020,Embu,631934.560258154
2020,Garissa,872576.175945729
2020,Homa Bay,1173996.7396439
2020,Isiolo,297887.899234521
2020,Kajiado,1194276.51761104
2020,Kakamega,1915342.79539497
2020,Kericho,923783.198546325
2020,Kiambu,2527513.5431429
2020,Kilifi,1503725.80281779
2020,Kirinyaga,639907.537799022
2020,Kisii,1313263.11079958
2020,Kisumu,1196911.50785165
2020,Kitui,1193579.1980434
2020,Kwale,890422.011976223
2020,Laikipia,534131.889783431
2020,Lamu,156948.863777679
2020,Machakos,1449577.95161783
2020,Makueni,1013530.59633901
2020,Mandera,899924.48512973
2020,Marsabit,485809.409781593
2020,Meru,1575829.82265816
2020,Migori,1162218.21348247
2020,Mombasa,1242722.94668032
2020,Murang'a,1082730.92793968
2020,Nairobi City,4556690.41643924
2020,Nakuru,2227015.01974113
2020,Nandi,913515.171276081
2020,Narok,1196258.0566735
2020,Nyamira,647645.159241483
2020,Nyandarua,663738.851606356
2020,Nyeri,813991.860964342
2020,Samburu,325174.432520788
2020,Siaya,1012760.82477551
2020,Taita-Taveta,352917.100126931
2020,Tana River,330477.438495996
2020,Tharaka-Nithi,405383.218832113
2020,Trans-Nzoia,1020436.66353679
2020,Turkana,959758.874480847
2020,Uasin Gishu,1195988.15361251
2020,Vihiga,612662.672361861
2020,Wajir,815492.173251008
2020,West Pokot,638976.284081553
2021,Baringo,709335.71658112
2021,Bomet,920055.59189589
2021,Bungoma,1742533.95121569
2021,Busia,940335.678801214
2021,"Elgeyo-
Marakwet",484538.563735464
2021,Embu,638237.721458043
2021,Garissa,893188.699596589
2021,Homa Bay,1195634.86336478
2021,Isiolo,304698.137508211
2021,Kajiado,1222113.21320385
2021,Kakamega,1948469.5590349
2021,Kericho,935279.555312455
2021,Kiambu,2574258.10401753
2021,Kilifi,1532141.00113492
2021,Kirinyaga,644868.547466998
2021,Kisii,1325264.24923698
2021,Kisumu,1216404.56316102
2021,Kitui,1207313.31620218
2021,Kwale,910778.19595224
2021,Laikipia,544495.993120755
2021,Lamu,160878.104844995
2021,Machakos,1464214.07474068
2021,Makueni,1024386.58570674
2021,Mandera,921466.64989934
2021,Marsabit,496789.12145672
2021,Meru,1594912.11888652
2021,Migori,1189399.14916634
2021,Mombasa,1268414.37086884
2021,Murang'a,1093856.79752019
2021,Nairobi City,4626482.57477629
2021,Nakuru,2272876.46182935
2021,Nandi,927965.942493793
2021,Narok,1229163.83161081
2021,Nyamira,651230.310409412
2021,Nyandarua,675935.167614495
2021,Nyeri,822244.212612403
2021,Samburu,333857.61485393
2021,Siaya,1030197.68427703
2021,Taita-Taveta,357129.346772593
2021,Tana River,338889.011879171
2021,Tharaka-Nithi,409571.161575178
2021,Trans-Nzoia,1038774.00772967
2021,Turkana,983278.238095368
2021,Uasin Gishu,1218649.88966448
2021,Vihiga,617586.420805785
2021,Wajir,836161.540838024
2021,West Pokot,653019.895064367
2022,Baringo,724545.742194609
2022,Bomet,932525.540804234
2022,Bungoma,1770855.33275981
2022,Busia,958325.065388188
2022,"Elgeyo-
Marakwet",491340.735611641
2022,Embu,644766.69607765
2022,Garissa,914685.608594715
2022,Homa Bay,1218358.32263328
2022,Isiolo,311818.495356485
2022,Kajiado,1251277.92655395
2022,Kakamega,1982898.22673821
2022,Kericho,947490.042885683
2022,Kiambu,2623602.84294099
2022,Kilifi,1561344.25966396
2022,Kirinyaga,650079.288667073
2022,Kisii,1337767.87394602
2022,Kisumu,1236755.0416822
2022,Kitui,1221623.96713437
2022,Kwale,932092.416162736
2022,Laikipia,555221.491542331
2022,Lamu,164977.539765005
2022,Machakos,1479340.4873009
2022,Makueni,1035742.1539999
2022,Mandera,944627.930461449
2022,Marsabit,508382.656868017
2022,Meru,1614745.84338572
2022,Migori,1217764.73569834
2022,Mombasa,1295594.82376085
2022,Murang'a,1105520.57389535
2022,Nairobi City,4701855.04887487
2022,Nakuru,2320617.25679467
2022,Nandi,942972.520021231
2022,Narok,1263787.07466986
2022,Nyamira,655091.972686185
2022,Nyandarua,688529.535974412
2022,Nyeri,830738.970624571
2022,Samburu,342969.021589366
2022,Siaya,1048573.20553373
2022,Taita-Taveta,361508.37514341
2022,Tana River,347619.137968281
2022,Tharaka-Nithi,413922.027759648
2022,Trans-Nzoia,1057949.84643231
2022,Turkana,1008070.36922291
2022,Uasin Gishu,1242712.96224484
2022,Vihiga,622754.007571785
2022,Wajir,857880.947184176
2022,West Pokot,667745.267450951
2023,Baringo,740453.072716856
2023,Bomet,945586.876999394
2023,Bungoma,1800330.40723306
2023,Busia,977164.792419948
2023,"Elgeyo-
Marakwet",498435.7156592
2023,Embu,651529.132193493
2023,Garissa,937122.342644404
2023,Homa Bay,1242223.25892948
2023,Isiolo,319267.092419791
2023,Kajiado,1281856.98829963
