year,cases
2020-01-01,621
2020-02-01,333
2020-03-01,638
2020-04-01,213
2020-05-01,186
2020-06-01,145
2020-07-01,1845
2020-08-01,304
2020-09-01,621
2020-10-01,251
2020-11-01,90
2020-12-01,56
2021-01-01,48
2021-02-01,757
2021-03-01,64
2021-04-01,149
2021-05-01,457
2021-06-01,359
2021-07-01,73
2021-08-01,103
2021-09-01,96
2021-10-01,103
2021-11-01,234
2021-12-01,208
2022-01-01,172
2022-02-01,213
2022-03-01,103
2022-04-01,33
2022-05-01,224
2022-06-01,649
2022-07-01,468
2022-08-01,42
2022-09-01,118
2022-10-01,182
2022-11-01,230
2022-12-01,158
2023-01-01,64
2023-02-01,149
2023-03-01,312
2023-04-01,117
2023-05-01,228
2023-06-01,1378
2023-07-01,377
2023-08-01,399
2023-09-01,337
2023-10-01,139
2023-11-01,114
2023-12-01,318
2024-01-01,358
2024-02-01,297
2024-03-01,486
2024-04-01,354
2024-05-01,634
2024-06-01,149
2024-07-01,495
2024-08-01,356
