age,total
0,1105074
1,1154805
2,1224743
3,1241956
4,1266689
5,1236656
6,1271896
7,1210940
8,1235497
9,1247654
10,1379280
11,1165184
12,1335475
13,1263811
14,1202322
15,1195341
16,1095353
17,1090511
18,932726
19,971926
20,1009889
21,851661
22,861461
23,897488
24,827175
25,939796
26,762779
27,776735
28,671991
29,703254
30,947801
31,620933
32,777609
33,642436
34,581940
35,761783
36,508150
37,503671
38,417533
39,458979
40,596767
41,485127
42,453757
43,399055
44,324525
45,514329
46,351353
47,362405
48,258648
49,299521
50,390063
51,267975
52,243311
53,188829
54,218432
55,233808
56,241430
57,233653
58,189712
59,219491
60,268363
61,184412
62,151515
63,151632
64,114100
65,176763
66,106179
67,167486
68,79584
69,128166
70,178163
71,105917
72,83349
73,72775
74,74335
75,71469
76,59950
77,58790
78,35300
79,57613
80,74169
81,36522
82,28178
83,32709
84,32319
85,28804
86,18941
87,23784
88,11644
89,30437
90,20526
91,13686
92,7599
93,6601
94,6689
95,9393
96,4098
97,4762
98,3163
99,6590
100,14040
