periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Population surving infants (under 1 year)
202401,January 2024,202401,,Kenya,Uasin Gishu County,Ainabkoi Sub County,mYlMs4xTj82,Ainabkoi Sub County,KE_SubCounty_3229,,4798
202401,January 2024,202401,,Kenya,Kericho County,Ainamoi Sub County,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,5580
202401,January 2024,202401,,Kenya,Nandi County,Aldai Sub County,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,5185
202401,January 2024,202401,,Kenya,Siaya County,Alego Usonga Sub County,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,7510
202401,January 2024,202401,,Kenya,Mandera County,Arabia Sub County,QiXBA5Ji7dA,Arabia Sub County,KE_SubCounty_3272,,2432
202401,January 2024,202401,,Kenya,Turkana County,Aroo Sub County,FKt9UVErwh3,Aroo Sub County,,,3800
202401,January 2024,202401,,Kenya,Machakos County,Athi River Sub County,BxfsSc6Svrc,Athi River Sub County,KE_SubCounty_3093,,8028
202401,January 2024,202401,,Kenya,Migori County,Awendo Sub County,ka9Uv3Ckcbd,Awendo Sub County,KE_SubCounty_3125,,5413
202401,January 2024,202401,,Kenya,Garissa County,Balambala Sub County,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,3440
202401,January 2024,202401,,Kenya,Mandera County,Banissa Sub County,hCvlJNjyZna,Banissa Sub County,KE_SubCounty_3104,,4113
202401,January 2024,202401,,Kenya,Baringo County,Baringo Central Sub County,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,3537
202401,January 2024,202401,,Kenya,Baringo County,,vvOK1BxTbet,Baringo County,KE_County_30,,24373
202401,January 2024,202401,,Kenya,Baringo County,Baringo North Sub County,bqtTmWcikTN,Baringo North Sub County,KE_SubCounty_2957,,3830
202401,January 2024,202401,,Kenya,Kericho County,Belgut Sub County,YnIAWg1T4AY,Belgut Sub County,KE_SubCounty_3024,,3966
202401,January 2024,202401,,Kenya,Kisii County,Bobasi Sub County,cooDDG3Lh3A,Bobasi Sub County,KE_SubCounty_3058,,6470
