t,yearvec,births.new,births.cumulative,births.cbr,deaths.new,deaths.cumulative,deaths.cmr,seir.n_susceptible,seir.n_infected,seir.n_exposed,seir.n_recovered,seir.prevalence,seir.new_infections,seir.cum_infections,n_alive,new_deaths,cum_deaths
2020.0,2020.0,57.0,57.0,27.313021602843108,14.0,14.0,6.708461446312342,23791.0,0.0,1246.0,6.0,0.04975442239348321,1247.0,1247.0,25043.0,14.0,0.0
2020.0833333333333,2020.0833333333333,57.0,114.0,27.26946537495515,17.0,31.0,8.132998445162062,23677.0,166.0,1213.0,27.0,0.054977474783718054,154.0,1401.0,25083.0,17.0,14.0
2020.1666666666665,2020.1666666666665,57.0,171.0,27.229299363057326,20.0,51.0,9.554140127388534,23481.0,304.0,1260.0,75.0,0.06226114649681529,234.0,1635.0,25120.0,20.0,31.0
2020.2499999999998,2020.2499999999998,57.0,228.0,27.190332326283986,20.0,71.0,9.540467482906664,23227.0,428.0,1342.0,159.0,0.07036094768643664,292.0,1927.0,25156.0,21.0,51.0
2020.333333333333,2020.333333333333,57.0,285.0,27.14716621685982,14.0,85.0,6.667725035719956,23060.0,554.0,1329.0,253.0,0.07473408477536117,212.0,2139.0,25196.0,17.0,72.0
2020.4166666666663,2020.4166666666663,57.0,342.0,27.10735941029604,19.0,104.0,9.035786470098682,23030.0,601.0,1227.0,375.0,0.0724448143304403,70.0,2209.0,25233.0,20.0,89.0
2020.4999999999995,2020.4999999999995,57.0,399.0,27.069811619439605,19.0,123.0,9.023270539813202,23068.0,654.0,1055.0,491.0,0.06763495330061738,0.0,2209.0,25268.0,22.0,109.0
2020.5833333333328,2020.5833333333328,58.0,457.0,27.50227209862884,17.0,140.0,8.061010787529144,23014.0,666.0,1012.0,615.0,0.06630576520330343,97.0,2306.0,25307.0,19.0,131.0
2020.666666666666,2020.666666666666,58.0,515.0,27.46212121212121,19.0,159.0,8.996212121212121,22791.0,674.0,1158.0,721.0,0.07228535353535354,264.0,2570.0,25344.0,21.0,150.0
2020.7499999999993,2020.7499999999993,58.0,573.0,27.42100701284375,18.0,177.0,8.509967693641164,22324.0,687.0,1532.0,839.0,0.08742415885273028,508.0,3078.0,25382.0,20.0,171.0
